Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
27276318,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,"=""1501110365""","=""9781501110368""",0,4.25,Atria Books,Paperback,367,2016,2016,,2023/06/15,,,read,,,,1,0
41733839,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Jesmyn Ward,"=""0743273567""","=""9780743273565""",0,3.93,Scribner,Paperback,180,2018,1925,,2023/06/15,,,read,,,,1,0
58613424,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",0,4.56,Scholastic Inc.,Hardcover,752,2000,2000,,2023/06/15,,,read,,,,1,0
60481026,Pride and Prejudice,Jane Austen,"Austen, Jane","Tony Tanner, Vivien Jones","=""0141439513""","=""9780141439518""",0,4.28,Penguin Books,Paperback,435,2003,1813,,2023/06/15,,,read,,,,1,0
58613380,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0590353403""","=""9780590353403""",0,4.47,Scholastic Inc.,Hardcover,320,1998,1997,,2023/06/15,,,read,,,,1,0
60184782,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0061120081""","=""9780061120084""",0,4.27,Harper Perennial Modern Classics,Paperback,323,2022,1960,,2023/06/15,,,read,,,,1,0
59130390,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Otto H. Frank, Mirjam Pressler, Susan Massotty","=""0553577123""","=""9780553577129""",0,4.18,Bantam Books,Mass Market Paperback,335,1997,1947,,2023/06/15,,,read,,,,1,0
489732,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Robert Mighall,"=""0141439572""","=""9780141439570""",0,4.12,Penguin Classics,Paperback,253,2003,1890,,2023/06/15,,,read,,,,1,0
58325858,1984,George Orwell,"Orwell, George",Erich Fromm,"=""0451524934""","=""9780451524935""",0,4.19,Signet Classic,Mass Market Paperback,328,1993,1949,,2023/06/15,,,read,,,,1,0
32929156,Wuthering Heights,Emily Brontë,"Brontë, Emily","Pauline Nestor, Lucasta Miller","=""0141439556""","=""9780141439556""",0,3.88,Penguin Classics,Paperback,359,2016,1847,,2023/06/15,,,read,,,,1,0
1880504,Little Women,Louisa May Alcott,"Alcott, Louisa May",Louise Rennison,"=""014240876X""","=""9780142408766""",0,4.14,Puffin Books,Paperback,777,2008,1868,,2023/06/15,,,read,,,,1,0
44696835,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""0671027344""","=""9780671027346""",0,4.22,MTV Books/Pocket Books,Paperback,213,2002,1999,,2023/06/15,,,read,,,,1,0
24006996,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""0061148512""","=""9780061148514""",0,4.04,Harper Perennial,Paperback,259,2013,1963,,2023/06/15,,,read,,,,1,0
59926998,Romeo and Juliet,William Shakespeare,"Shakespeare, William","Paul Werstine, Barbara A. Mowat","=""0743477111""","=""9780743477116""",0,3.74,Simon & Schuster Paperbacks,Mass Market Paperback,301,2011,1597,,2023/06/15,,,read,,,,1,0
25239464,Sense and Sensibility,Jane Austen,"Austen, Jane","Ros Ballaster, Tony Tanner","=""0141439661""","=""9780141439662""",0,4.08,Penguin Classics,Paperback,381,2014,1811,,2023/06/15,,,read,,,,1,0
13356708,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""054792819X""","=""9780547928197""",0,4.56,Mariner Books,Paperback,406,2012,1955,,2023/06/15,,,read,,,,1,0
34689759,Gone With the Wind,Margaret Mitchell,"Mitchell, Margaret",Pat Conroy,"=""1451635621""","=""9781451635621""",0,4.30,Scribner,Paperback,959,2011,1936,,2023/06/15,,,read,,,,1,0
20510108,The Da Vinci Code (Robert Langdon #2),Dan Brown,"Brown, Dan",,"=""0307474275""","=""9780307474278""",0,3.90,Anchor Books,Mass Market Paperback,624,2020,2003,,2023/06/15,,,read,,,,1,0
